pl_name,hostname,pl_rade,pl_bmasse,pl_orbsmax,pl_orbeccen,pl_eqt,pl_insol,st_teff,st_rad,st_mass,st_age,st_spectype,disc_year,density_proxy,spectral_class,pl_orbeccen_filled,flux_score,temp_score,radius_score,density_score,eccentricity_score,stellar_score,EHS
Kepler-1943 b,Kepler-1943,1.54869189,3.02,0.05975,0.0,1098.0,724.2,6032.0,0.973,1.055,5.25,,2021.0,0.8130399215504606,,0.0,1.1659006258969225e-05,0.00013871175263814917,0.6582682446429351,0.8965228738336422,1.0,,0.3780430510753454
GJ 3138 b,GJ 3138,1.18,1.78,0.0197,0.19,902.98,118.1,3717.0,0.5,0.681,,M0,2017.0,1.0833629533691371,M,0.19,0.0025691146286824324,0.005255521687921143,0.9559974818331,0.9945855068126528,0.8182760289835492,0.5,0.44917903294099504
GJ 486 b,GJ 486,1.289,2.77,0.01714,0.00086,696.3,39.2,3317.0,0.3243,0.312,4.0,M3.5 V,2021.0,1.293364740194921,M,0.00086,0.029428889230122983,0.08765723515879578,0.890473986527188,0.9349739436793326,0.9999958911195526,0.5,0.47148045012461604
Kepler-27 b,Kepler-27,4.0,2895.31,0.118,0.0,610.0,28.681,5400.0,0.59,0.65,1.62,,2011.0,45.23921875,,0.0,0.05229747955843473,0.20694287292767763,3.726653172078671e-06,0.0,1.0,,0.18172198800679837
HAT-P-2 c,HAT-P-2,12.4,3400.7639549,,0.37,,,6412.0,1.416,1.33,1.44,F8,2023.0,1.783657372874777,F,0.37,,,4.07235862576106e-79,0.6189193079707782,0.4674066844856189,0.75,0.40205927135570857
HD 114783 c,HD 114783,13.4,603.8739733,5.0,0.05,101.53,0.017,5135.0,0.840622,0.9,6.0,K1 V,2016.0,0.2509758403211166,K,0.05,0.012919169238421367,0.7449687474232077,1.7947362817303916e-93,0.173211614927351,0.9862071167439163,0.9,0.40316541496137365
TOI-6894 b,TOI-6894,9.5836785,53.39517238,0.02604,0.029,417.9,5.54,3007.0,0.2276,0.207,,,2025.0,0.0606604020423664,,0.029,0.464038766897464,0.7176989231250517,3.6097534532239614e-45,0.06345834954851931,0.9953386756290242,,0.4299166810201537
NGTS-9 b,NGTS-9,11.99363,921.707,0.058,0.06,1448.0,729.0,6330.0,1.38,1.34,0.96,F8 V,2019.0,0.5342455891846971,F,0.06,1.139615448596798e-05,1.8777387192036105e-08,1.2557572349555334e-73,0.5076833208301597,0.9801986733067553,0.75,0.2612910522077904
Kepler-584 b,Kepler-584,4.21,16.5,0.2281,0.0,664.0,76.339,6195.0,1.24,1.17,2.88,,2016.0,0.2211249036615751,,0.0,0.007275505204409027,0.12356196597036793,6.091203315515514e-07,0.1502026271113212,1.0,,0.16653135768279326
Kepler-799 b,Kepler-799,6.88,37.9,0.5167,0.0,433.0,6.356,5681.0,0.93,0.95,3.98,,2016.0,0.1163788054825361,,0.0,0.4082080630466457,0.6729730464438339,1.396943943147109e-21,0.08716455168196463,1.0,,0.4063095061395584
Kepler-1961 b,Kepler-1961,1.6187808,3.25,0.0588,0.0,866.0,132.98,5401.0,0.777,0.871,,,2021.0,0.7661595634231867,,0.0,0.0019025895451482346,0.009405012379143244,0.5875515923417606,0.8429233772462585,1.0,,0.35783447771187493
Kepler-132 d,Kepler-132,1.55,3.02,0.136,0.0,758.0,68.6,6003.0,1.178,0.929,4.37,,2014.0,0.8109831828404551,,0.0,0.009247027448632547,0.04231504848709655,0.6569555696492684,0.8943590243852603,1.0,,0.39011974462112603
K2-388 b,K2-388,3.9,14.5,,,874.0,138.0,5310.0,0.91,0.93,,G8,2022.0,0.2444410728434397,G,0.0,0.0017296489473149538,0.008316510692811063,8.456665968701106e-06,0.16797056239550232,1.0,1.0,0.26889446194813493
K2-153 b,K2-153,2.0,4.66,0.0614,,497.0,11.8,3845.0,0.53,0.55,,M3.0 V,2018.0,0.5825,M,0.0,0.20275892804606788,0.4809220885801864,0.24935220877729622,0.5800116837488493,1.0,0.5,0.4297457598578984
TOI-1224 b,TOI-1224,2.104,5.08,0.0355,,541.0,13.9295,3326.0,0.404,0.4,0.21,,2024.0,0.5454142817775848,,0.0,0.16243391839157884,0.3597125639219338,0.18400359196771976,0.5242557991090415,1.0,,0.3550321066902701
HIP 54597 b,HIP 54597,13.3,762.7881768,4.0,0.03,94.0,0.0143,4799.0,0.66,0.8,4.3,K5 V,2023.0,0.3242268895711492,K,0.03,0.008861045980649724,0.7232412018083164,5.5446225904777875e-92,0.24000595284344672,0.9950124791926823,0.9,0.40536534506043864
WASP-5 b,WASP-5,12.184,502.15,0.0267,0.038,1706.0,1559.4762,5700.0,1.029,0.96,5.4,G5,2008.0,0.2776283398011736,G,0.038,7.086673583840991e-07,3.71920009124801e-12,3.5667936948622746e-76,0.19579441989272695,0.992009869928342,1.0,0.2687806061496903
HD 195019 b,HD 195019,13.0,1264.9634,0.14,0.01,901.66,109.862,5751.0,1.48,1.21,3.2,G3 IV-V,1998.0,0.5757685025034138,G,0.01,0.0030739143317734725,0.005368995503688301,1.3838965267367376e-87,0.5698320356720391,0.9994445987368581,1.0,0.30876994112457073
HD 75289 b,HD 75289,14.2,155.7367,0.05,0.03,1260.0,821.3488,6117.0,1.23,1.29,5.6,G0,1999.0,0.0543908611358689,G,0.03,7.520508599389274e-06,3.2877323044708107e-06,7.956743891951627e-106,0.06115754673648913,0.9950124791926823,1.0,0.2556195402665279
Kepler-102 e,Kepler-102,2.17,4.7,0.1162,0.089,590.0,20.3,4909.0,0.724,0.803,1.1,,2013.0,0.4599585078280535,,0.089,0.09307317283702282,0.24590438437706766,0.1493817752504181,0.4019650873750457,0.9569486410769396,,0.2802551740940604
Kepler-334 b,Kepler-334,1.12,1.46,0.061,0.0,1090.0,300.982,5828.0,1.068,1.022,2.75,,2014.0,1.0391991618075798,,0.0,0.00019702675806356146,0.00016405439636221056,0.9801986733067553,0.9988002715889944,1.0,,0.4658845051635751
Kepler-623 b,Kepler-623,3.01,9.32,0.0854,0.0,825.0,77.098,5443.0,0.86,0.9,4.47,,2016.0,0.3417562184689094,,0.0,0.0071136594133443245,0.017227471311635108,0.0036564958800529026,0.25820143644960514,1.0,,0.15502982580780494
Kepler-248 b,Kepler-248,3.02,9.38,0.066,0.0,819.0,79.311,5190.0,0.831,0.838,2.34,,2014.0,0.3405508820776131,,0.0,0.00666842569094121,0.01875677984858104,0.0034574559939224013,0.25692307453266683,1.0,,0.15506148358176786
K2-180 b,K2-180,2.46597575,11.41003981,0.0756,0.075,797.5,48.3,5365.0,0.719,0.735,7.5,K2 V,2018.0,0.7608880355863498,K,0.075,0.01947854681878531,0.025252550334871924,0.05054758352506453,0.8363815161068962,0.9692332344763441,0.9,0.33559113853500766
K2-122 b,K2-122,1.16,1.65,0.0373,0.21,769.0,79.9,4009.0,0.59,0.63,,M0,2017.0,1.0570851613432286,M,0.21,0.006556231991391161,0.03679291424636707,0.9650691177896804,0.9974573663845735,0.7827045382418681,0.5,0.45502765486770147
Kepler-424 c,Kepler-424,12.7,2215.18,0.73,,298.76,1.3285,5460.0,0.94,1.01,4.9,,2014.0,1.0814286195501526,,0.0,0.9790855901903716,0.976347491072363,2.6900579025827697e-83,0.9948332220140781,1.0,,0.7523814328982038
TOI-654.01,TOI-654,2.378,8.71,0.01944,0.0,794.0,65.0,3521.0,0.43,0.419,,M2 V,2024.0,0.6477129857715545,M,0.0,0.010411978184537315,0.02647610899464765,0.07155142272084057,0.6785265373161528,1.0,0.5,0.2650611546208473
