pl_name,hostname,pl_rade,pl_bmasse,pl_orbsmax,pl_orbeccen,pl_eqt,pl_insol,st_teff,st_rad,st_mass,st_age,st_spectype,disc_year
K2-268 b,K2-268,1.5,2.86,0.0308,,1136.0,392.1704,5106.0,0.78,0.84,,,2018.0
Kepler-1584 b,Kepler-1584,1.61,3.22,0.1168,0.0,886.0,162.544,6069.0,1.13,1.1,3.31,,2016.0
Kepler-1368 b,Kepler-1368,1.65,3.36,0.0153,0.0,2085.0,4849.257,5906.0,1.08,1.07,3.47,,2016.0
Kepler-924 b,Kepler-924,3.07,9.64,0.31318,0.0,610.0,19.997,6167.0,1.23,1.14,3.09,,2016.0
Kepler-1542 c,Kepler-1542,0.65,0.208,0.0387,0.0,1287.0,786.082,5564.0,0.99,0.94,8.51,,2016.0
K2-102 b,K2-102,1.3,2.24,,0.1,,,4695.0,0.71,0.77,0.79,K5,2016.0
Kepler-331 c,Kepler-331,1.84,4.04,0.105,0.0,425.0,13.888,4347.0,0.492,0.653,1.2,,2014.0
Kepler-1096 b,Kepler-1096,1.24,2.07,0.034,0.0,794.0,124.866,4306.0,0.63,0.66,3.8,,2016.0
K2-404 b,K2-404,2.53,6.94,,,,,3748.0,0.552,0.552,,M1,2022.0
TOI-615 b,TOI-615,18.97680433,138.25535705,0.0678,0.39,1666.0,1286.0,6850.0,1.732,1.449,1.7,F2 V,2023.0
Kepler-303 c,Kepler-303,1.14,1.55,0.057,0.0,521.0,25.851,3944.0,0.485,0.575,7.71,M0 V,2014.0
HD 150010 b,HD 150010,13.3,762.7881768,1.4,0.2,681.22,48.9796,4153.0,16.2,1.3,4.9,K2 III,2022.0
WASP-99 b,WASP-99,11.43318,772.3269,0.0717,0.0,1480.0,2005.426,6150.0,1.64,1.21,3.0,F8,2014.0
HD 56414 b,HD 56414,3.71,13.3,0.229,0.68,1133.0,1614.3559,8500.0,1.751,1.89,0.42,,2022.0
Kepler-1388 b,Kepler-1388,2.59,7.22,0.0882,0.0,434.0,17.674,4098.0,0.61,0.63,4.47,,2016.0
GJ 514 b,GJ 514,2.13,5.2,0.422,0.45,202.0,0.28,3728.0,0.5,0.51,0.8,M0.5-1.0 V,2022.0
TOI-628 b,TOI-628,11.88154,2011.8639,0.0486,0.072,1586.0,1052.9,6250.0,1.345,1.311,1.28,,2021.0
Kepler-92 c,Kepler-92,2.6,6.1,0.19054,0.04,781.0,106.207,5883.0,1.7,1.21,3.98,,2013.0
Kepler-552 b,Kepler-552,3.95,14.8,0.0612,0.0,1103.0,358.994,5863.0,1.04,1.03,3.89,,2016.0
KMT-2016-BLG-1820L b,KMT-2016-BLG-1820L,12.9,1450.0,1.08,,,,,,0.039,,,2018.0
MASCARA-4 b,MASCARA-4,16.98160576,532.36258173,0.0474,0.0,2250.0,4913.69,7800.0,1.79,1.75,0.8,A7 V,2020.0
BD+60 1417 b,BD+60 1417,14.68376472,4767.426105,1662.0,,1303.0,0.0,4993.0,0.797,1.0,0.1,K0,2021.0
Kepler-1846 b,Kepler-1846,1.76378826,3.76,0.11054,0.0,552.0,24.5,4825.0,0.732,0.785,14.0,,2021.0
HD 82943 b,HD 82943,13.5,534.25,1.18306,0.162,286.13,1.117,5935.0,1.1826,1.08,2.35,G2/3V,2003.0
EPIC 248847494 b,EPIC 248847494,12.44199,4131.79,4.5,0.0,183.0,0.19,4898.0,2.7,0.9,,,2018.0
HD 147873 b,HD 147873,12.8,1633.6462,0.522,0.207,603.16,21.9829,5972.0,2.29,1.38,4.0,G1 V,2016.0
TOI-2719 b,TOI-2719,5.98,29.9,,,1710.0,874.29,5762.0,1.69,1.02,,,2025.0
HAT-P-24 b,HAT-P-24,14.5717,238.3725,0.04651,0.07,1637.0,1294.929,6373.0,1.38,1.37,2.8,F8,2010.0
KOI-94 e,KOI-94,6.56,35.0,0.3046,0.019,584.0,29.7,6182.0,1.52,1.277,3.16,,2013.0
NGTS-24 b,NGTS-24,13.60770257,165.27077164,0.0479,0.0,1499.0,391.83,5820.0,1.64,1.26,4.77,G2 IV,2022.0
Qatar-8 b,Qatar-8,14.403565,117.91493,0.0474,0.0,1457.0,698.148,5738.0,1.315,1.029,8.3,G0 V,2019.0
Kepler-288 c,Kepler-288,2.85,8.5,0.14,0.0,815.0,53.148,5918.0,1.091,0.842,12.3,,2014.0
alf Ari b,alf Ari,13.4,572.07,1.2,0.25,747.22,59.6537,4553.0,13.9,1.5,,K2III,2010.0
b Cen AB b,b Cen A,12.4,3464.3296363,556.0,0.4,,,,,5.5,0.015,B2.5 V,2021.0
GJ 160.2 b,GJ 160.2,3.17,10.2,0.053,0.06,736.99,56.9598,4347.0,0.655173,0.69,,M0 V,2014.0
HIP 5763 b,HIP 5763,14.2,162.09248757,0.17,0.054,440.9,6.2967,4352.0,0.750378,0.72,,K6 V,2021.0
Kepler-1258 b,Kepler-1258,0.86,0.566,0.01824,0.0,2335.0,2775.0,5839.0,0.99,0.99,3.89,,2016.0
TOI-159 b,TOI-159,18.18,1110.0,0.056,0.24,1891.0,1797.8272,7287.0,1.62,1.661,0.145,F0 V,2026.0
TOI-6628 b,TOI-6628,10.98480109,235.19302118,0.134,0.67,833.0,20.0861,5463.0,1.01,0.97,7.5,,2025.0
NSVS 14256825 b,NSVS 14256825,12.3,4497.2945,3.12,0.12,473.47,9.6678,40000.0,0.188,0.419,,,2019.0
TOI-2093 c,TOI-2093,2.3,15.8,0.257,0.0,329.0,3.0647,4426.0,0.729,0.745,6.6,K5 V,2025.0
Kepler-33 f,Kepler-33,4.46,9.6,0.2535,0.0,691.0,53.183,5904.0,1.82,1.291,4.27,,2011.0
HD 233604 b,HD 233604,12.7,2089.644,0.747,0.05,882.5,100.7764,4791.0,10.9,1.5,2.4,K5,2013.0
TOI-715 b,TOI-715,1.55,3.02,0.083,,234.0,0.67,3075.0,0.24,0.225,6.2,M4,2023.0
TOI-1266 b,TOI-1266,2.52,4.46,0.073,0.039,415.0,4.72,3563.0,0.4232,0.437,4.6,M2,2020.0
TOI-1836 b,TOI-1836,8.00321222,38.45723725,0.1597,0.0,966.0,153.5185,6380.0,1.577,1.307,6.6,,2024.0
Kepler-1103 b,Kepler-1103,2.27,5.77,0.15336,0.0,736.0,160.282,6092.0,1.15,1.11,3.31,,2016.0
TOI-1036 b,TOI-1036,6.28499593,32.5,,,1294.0,466.528,5664.68,1.17554,1.03,,,2026.0
EPIC 212424622 b,EPIC 212424622,2.17,5.35,,,,,5782.33,1.2247,1.106,,,2019.0
WASP-127 b,WASP-127,14.694999,52.346601,0.0484,0.0,1400.0,703.971,5620.0,1.333,0.95,11.41,,2016.0
Kepler-32 f,Kepler-32,0.82,969.228,0.013,0.0,1026.0,349.645,3900.0,0.53,0.58,5.6,M1 V,2012.0
HD 167677 b,HD 167677,13.2,905.81095995,2.877,0.182,151.9,0.0891,5474.0,0.95271,0.96,11.5,G5 V,2023.0
Kepler-1915 b,Kepler-1915,3.21798413,10.4,0.114,0.0,809.0,101.05,6020.0,1.057,1.03,,,2021.0
NGC 2682 YBP 1514 b,NGC 2682 YBP 1514,14.0,127.132,,0.28,,,5725.0,0.89,0.96,4.15,G5 V,2014.0
WASP-121 b,WASP-121,19.52604438,371.85923619,0.02571,0.0,2409.0,6216.41,6628.0,1.461,1.33,1.11,F6 V,2016.0
K2-217 b,K2-217,3.57854073,12.5,,,,,5967.0,1.333718,1.102661,,,2018.0
K2-275 c,K2-275,2.21,5.52,0.0881,,653.0,45.7572,4841.0,0.69,0.77,,,2018.0
Kepler-968 b,Kepler-968,2.0,4.66,0.0389,0.0,745.0,103.909,4598.0,0.7,0.76,2.14,,2016.0
TOI-1756 b,TOI-1756,1.94225664,4.43,,,696.39,55.5824,3891.86,0.562607,0.556454,,,2026.0
HD 93963 A b,HD 93963 A,1.46954368,2.8,0.02061,0.0,1842.23,2898.0,5908.0,1.0311,1.0844,1.3,G0 V,2022.0
Kepler-1734 b,Kepler-1734,3.08851092,9.74,0.0714,0.0,985.0,222.91,6061.0,0.97,1.05,0.3,,2021.0
Kepler-1669 d,Kepler-1669,1.22,1.98,0.0468,0.0,669.0,47.3,4224.0,0.603,0.609,13.9,,2023.0
Kepler-993 b,Kepler-993,2.97,9.11,0.13,0.0,352.0,3.954,3843.0,0.54,0.57,3.89,,2016.0
Kepler-288 b,Kepler-288,1.67,3.43,0.065,0.0,1197.0,247.301,5918.0,1.091,0.842,12.3,,2014.0
KMT-2021-BLG-1689L b,KMT-2021-BLG-1689L,7.71,46.0,2.5,,,,4570.0,,0.58,,,2022.0
KELT-4 A b,KELT-4 A,19.044091,286.68266,0.04317,0.0,1823.0,1840.0,6206.0,1.603,1.201,4.44,F,2016.0
Kepler-215 d,Kepler-215,2.39,23.6,0.185,0.0,527.0,21.404,5739.0,1.027,0.788,1.62,,2014.0
Kepler-1867 b,Kepler-1867,1.15985997,1.65,0.0872,0.0,768.0,82.32,5693.0,0.816,0.911,0.5,,2021.0
EPIC 212737443 b,EPIC 212737443,2.586,7.2,0.098,0.2,536.0,18.4919,4684.0,0.673,0.69,,K3,2019.0
K2-270 c,K2-270,2.95,9.01,0.0497,,848.0,122.7722,4877.0,0.77,0.85,,,2018.0
HD 4203 b,HD 4203,13.3,708.7609,1.17,0.52,297.28,1.4338,5596.0,1.42,1.25,8.52,G5,2001.0
HD 7924 d,HD 7924,,1568.16536014,0.1551,0.21,499.0,15.17,5075.0,0.7821,0.832,0.88,K0.5 V,2015.0
Kepler-48 b,Kepler-48,1.88,3.94,0.05394,0.0,932.0,173.12,5194.0,0.89,0.88,3.14,,2012.0
Kepler-550 b,Kepler-550,4.42,17.9,0.0747,0.0,760.0,77.258,5322.0,0.83,0.87,4.68,,2016.0
HD 106315 b,HD 106315,2.44,12.6,0.0907,0.093,1153.0,277.0,6327.0,1.296,1.091,4.48,F5 V,2017.0
HD 111232 b,HD 111232,12.6,2531.50326176,2.148,0.214,172.05,0.1496,5512.0,0.9,0.96,5.2,G8 V,2003.0
Kepler-215 c,Kepler-215,1.77,3.78,0.113,0.0,675.0,57.694,5739.0,1.027,0.788,1.62,,2014.0
TOI-2169 A b,TOI-2169 A,12.50922246,329.58805806,0.0896,0.045,1364.0,577.0,6270.0,1.82,1.42,2.51,,2025.0
Kepler-763 d,Kepler-763,1.67,3.43,0.0634,0.0,804.0,98.81,4999.0,0.843,0.8,2.1,,2023.0
K2-268 c,K2-268,2.69,7.7,0.0819,,696.0,55.4636,5106.0,0.78,0.84,,,2018.0
HATS-50 b,HATS-50,12.66617,123.9537,0.05046,0.516,1275.39,625.3023,5990.0,1.117,1.168,1.2,,2017.0
Kepler-407 c,Kepler-407,12.3,4000.0,3.27090369,0.221479,146.73,0.0854,5476.0,1.01,1.0,7.47,G,2014.0
Kepler-1134 b,Kepler-1134,2.64,7.46,0.1242,0.0,611.0,29.864,5281.0,0.81,0.84,4.9,,2016.0
TOI-4308 b,TOI-4308,2.4189,6.43,,,763.05,55.3616,5243.0,0.7934,0.9,,,2023.0
Kepler-1989 b,Kepler-1989,4.62,19.3,0.0918,0.0,904.0,157.97,6032.0,1.06,0.999,,,2023.0
HD 18015 b,HD 18015,13.1,1048.8337431,3.87,0.148,242.98,0.6286,5603.0,3.13,1.49,,G6 IV,2018.0
Kepler-211 c,Kepler-211,1.29,18.3,0.062,0.0,841.0,95.436,5123.0,0.816,0.867,1.55,,2014.0
TOI-1798.02,TOI-1798,1.464,5.6,0.010789,0.0,1935.83,3345.44,5165.0,0.78,0.87,2.6,,2024.0
TOI-4600 b,TOI-4600,6.8,959.84178914,0.349,0.25,347.0,3.3159,5170.0,0.81,0.89,2.3,K V,2023.0
Kepler-567 b,Kepler-567,2.25,5.69,0.1229,0.0,611.0,26.137,5148.0,0.79,0.84,4.68,,2016.0
TOI-2019 b,TOI-2019,5.33275337,34.4,0.128,0.0,917.46,126.052,5626.0,1.7457,1.1832,6.4,,2024.0
Kepler-24 b,Kepler-24,2.348,11.14,0.08045,0.023,1050.0,252.246,6028.0,1.099,1.06,3.02,,2011.0
KIC 8121913 b,KIC 8121913,13.4,667.4396547,,,,,5975.3,2.233,1.456,,,2021.0
HD 103774 b,HD 103774,13.3,116.0,0.07,0.09,1487.08,714.1738,6489.0,1.581047,1.335,1.05,F5 V,2013.0
Kepler-161 b,Kepler-161,2.12,2.63,0.054,0.0,868.0,123.4,5078.0,0.806,0.853,0.91,,2014.0
OGLE-2019-BLG-1053L b,OGLE-2019-BLG-1053L,1.38,2.48,3.4,,,,,,0.61,,,2021.0
GJ 3293 d,GJ 3293,2.67,7.6,0.19394,0.12,241.22,0.59,3466.0,0.404,0.42,,M2.5,2017.0
HD 40307 d,HD 40307,,1775.3894815,0.1321,0.07,541.0,13.1581,4956.0,0.716684,0.77,4.5,K2.5 V,2009.0
Kepler-1670 b,Kepler-1670,3.3564801,11.2,0.1528,0.0,731.0,67.67,5838.0,1.51889,1.05,0.3,,2020.0
K2-225 b,K2-225,3.60929179,12.7,0.1409,0.23,923.0,121.3934,5520.0,1.7,1.482,0.0121,,2018.0
Kepler-1308 b,Kepler-1308,0.52,0.0933,0.025,0.0,662.0,58.108,3468.0,0.34,0.35,3.72,,2016.0
47 UMa b,47 UMa,13.2,804.08,2.1,0.032,215.23,0.3576,5872.0,1.21334,1.06,6.48,G0V,1996.0
HD 142022 A b,HD 142022 A,12.9,1433.40611557,2.93,0.53,155.74,0.1176,5421.0,1.04,0.9,7.0,G9 IV-V,2005.0
Kepler-24 c,Kepler-24,2.514,9.99,0.10612,0.014,915.0,144.827,6028.0,1.099,1.06,3.02,,2011.0
Kepler-404 c,Kepler-404,1.72,3.61,0.118,0.0,678.0,33.153,5654.0,0.884,0.86,1.35,,2014.0
Kepler-1254 b,Kepler-1254,1.55,3.02,0.0833,0.0,660.0,33.978,4985.0,0.75,0.78,5.62,,2016.0
WASP-135 b,WASP-135,14.5717,603.877,0.0243,0.0,1403.66,917.4101,5675.0,0.96,0.98,0.6,G5 V,2015.0
HATS-15 b,HATS-15,12.385945,689.6911,0.02712,0.126,1505.0,2201.3363,5311.0,0.922,0.871,11.0,G9 V,2016.0
HD 37124 d,HD 37124,14.0,221.20968,2.807,0.16,159.79,0.098,5698.64,0.949168,0.85,4.0,G4 V,2005.0
K2-198 d,K2-198,2.438,6.52,,,943.2,,5212.9,0.757,0.799,,,2019.0
Ross 128 b,Ross 128,1.11,1.4,0.0496,0.116,301.0,1.38,3192.0,0.1967,0.168,5.0,M4,2017.0
WASP-3 b,WASP-3,15.91678,772.3269,0.0315,0.0,2020.0,1845.3,6400.0,1.44,1.62,2.1,,2007.0
Kepler-170 c,Kepler-170,2.86,8.55,0.131,0.0,702.0,50.682,5679.0,1.035,1.066,1.58,,2014.0
Kepler-1936 b,Kepler-1936,3.16615594,10.2,0.52662,0.0,524.0,9.4,6501.0,1.854,1.419,2.57,,2021.0
KMT-2016-BLG-1107L b,KMT-2016-BLG-1107L,13.1,1043.0,0.342,,,,,,0.087,,,2019.0
KELT-1 b,KELT-1,12.442,8654.15,0.02466,0.0099,2361.0,5165.92,6516.0,1.471,1.335,,,2012.0
Kepler-640 b,Kepler-640,2.56,7.08,0.15418,0.0,609.0,35.062,5653.0,0.94,1.01,2.09,,2016.0
KMT-2025-BLG-0121L b,KMT-2025-BLG-0121L,12.6,2469.52672239,3.05,,,,,,0.61,,,2026.0
Kepler-1045 b,Kepler-1045,2.69,7.7,0.1616,0.0,512.0,19.127,5301.0,0.82,0.86,4.47,,2016.0
Kepler-1862 b,Kepler-1862,2.203,5.49,0.1199,0.0,645.0,41.04,5644.0,0.806,0.9,0.4,,2021.0
HD 158259 c,HD 158259,2.23,5.6,,,,,5801.89,1.21,1.08,,G0,2020.0
HD 103197 b,HD 103197,5.83,28.6047,0.25,0.0,474.97,7.52,5250.0,0.88,0.8,9.1,K1 V(P),2009.0
psi1 Dra B b,psi1 Dra B,13.5,486.2799,4.43,0.4,159.48,0.1079,6212.0,1.255735,1.19,3.3,G0 V,2015.0
TOI-2227 b,TOI-2227,3.09885187,9.79,,,1164.0,305.107,5889.54,1.20847,1.03,,,2026.0
Kepler-990 b,Kepler-990,2.6,7.27,0.08595,0.0,903.0,108.3,5948.0,1.08,1.05,3.55,,2016.0
Kepler-50 b,Kepler-50,1.71,8.9,0.077,0.0,1196.0,494.705,6225.0,1.58,1.24,3.8,,2012.0
K2-260 b,K2-260,18.41635529,546.66486004,0.04392,0.053,2090.0,2520.03,6860.0,1.755,1.637,0.65,F6 V,2018.0
WASP-144 b,WASP-144,9.52765,139.8452,0.0316,0.0,1260.0,775.8849,5200.0,0.81,0.81,8.71,K2 V,2018.0
Kepler-1304 b,Kepler-1304,2.29,5.86,0.1202,0.0,715.0,61.87,5259.0,0.81,0.85,4.68,,2016.0
Kepler-1128 b,Kepler-1128,3.65,12.9,0.302,0.0,424.0,6.451,5543.0,0.91,0.94,4.57,,2016.0
Kepler-1537 b,Kepler-1537,1.18,1.76,0.0245,0.0,1800.0,713.168,5079.0,0.77,0.81,5.01,,2016.0
TIC 139702105 b,TIC 139702105,2.45316949,6.59,,,,,5742.35,1.25423,0.9,,,2026.0
KMT-2016-BLG-2397L b,KMT-2016-BLG-2397L,13.2,836.0,3.64,,,,,,0.64,,,2020.0
HATS-70 b,HATS-70,15.513256,4100.007,0.03632,0.18,2730.0,9110.0,7930.0,1.881,1.78,0.81,,2019.0
Kepler-1043 b,Kepler-1043,2.55,7.04,0.2159,0.0,532.0,21.692,5629.0,0.9,0.92,4.47,,2016.0
NGTS-35 b,NGTS-35,10.9,152.0,0.16,0.192,451.0,9.8437,4717.0,0.753,0.789,1.5,K3.5 V,2025.0
Kepler-368 c,Kepler-368,3.88,14.3,0.36,0.0,575.0,28.681,5502.0,2.019,1.165,6.46,,2014.0
Kepler-479 b,Kepler-479,2.12,5.14,0.09636,0.0,649.0,37.753,5247.0,0.81,0.86,4.27,,2016.0
Kepler-1404 b,Kepler-1404,2.01,4.7,0.1143,0.0,596.0,39.001,5261.0,0.8,0.84,4.57,,2016.0
Kepler-1987 b,Kepler-1987,1.23,2.04,0.0318,0.0,997.0,233.38,4769.0,0.714,0.799,,,2023.0
K2-99 c,K2-99,12.6,2669.7586188,1.43,0.21,390.0,3.8779,6069.0,2.55,1.44,3.7,G0 IV,2022.0
OGLE-2019-BLG-0468L b,OGLE-2019-BLG-0468L,13.1,1090.15143601,3.29,,,,,,0.92,,G,2022.0
Kepler-1085 b,Kepler-1085,7.22,41.2,0.73361,0.0,313.0,2.055,6000.0,1.14,1.11,3.39,,2016.0
HD 156668 b,HD 156668,1.87,4.15,0.05,0.0,887.48,679.2975,4850.0,0.72,0.772,8.6,K2,2010.0
TOI-1728 b,TOI-1728,5.05,26.78,0.0391,0.057,767.0,57.78,3980.0,0.6243,0.646,7.1,M0,2020.0
Kepler-28 c,Kepler-28,1.857,2.06,0.07519,0.017,509.0,35.898,4499.3,0.664,0.684,1.91,M0 V,2011.0
Kepler-1135 b,Kepler-1135,1.85,4.08,0.3436,0.0,451.0,25.76,5656.0,0.94,0.96,4.47,,2016.0
HD 30856 b,HD 30856,13.5,491.68301,1.85,0.061,364.02,2.8926,4895.0,4.4,1.17,3.8,K0 III,2011.0
Kepler-173 c,Kepler-173,2.43,6.48,0.074,0.0,956.0,258.418,6031.0,0.949,1.067,3.3,,2014.0
TOI-6038 A b,TOI-6038 A,6.41,78.5,0.069,,1439.0,716.0,6110.0,1.648,1.291,3.65,,2025.0
SPECULOOS-3 b,SPECULOOS-3,0.977,0.894,0.00733,,553.0,15.54,2800.0,0.123,0.1009,6.6,M6.5+/-0.5,2024.0
Kepler-1445 b,Kepler-1445,0.96,0.84,0.09587,0.0,987.0,248.548,6150.0,1.26,1.13,3.8,,2016.0
Kepler-796 b,Kepler-796,1.3,2.24,0.07317,0.0,1109.0,962.264,5475.0,1.09,0.93,11.75,,2016.0
WASP-52 b,WASP-52,14.24,146.2,0.0272,0.0,1315.0,605.7625,5000.0,0.79,0.87,0.4,K2 V,2012.0
KMT-2017-BLG-0428L b,KMT-2017-BLG-0428L,2.23,5.59,1.81,,,,,,0.34,,,2023.0
XO-2 S b,XO-2 S,10.9,82.63538582,0.1347,0.15,706.59,41.519,5325.0,1.02,0.98,7.1,G8 V,2014.0
Kepler-1095 b,Kepler-1095,1.21,1.92,0.0514,0.0,1108.0,356.54,5658.0,0.92,0.94,4.47,,2016.0
Kepler-1105 b,Kepler-1105,2.01,4.7,0.0471,0.0,729.0,47.18,4299.0,0.68,0.71,8.71,,2016.0
LP 791-18 d,LP 791-18,1.032,0.91,0.01992,0.0011,395.5,5.83,2960.0,0.182,0.139,0.5,M(6.1 +/- 0.7) V,2023.0
TIC 257060897 b,TIC 257060897,17.26183028,201.50321004,0.04922,0.039,1775.0,1804.5549,5993.0,1.863,1.187,5.6,F,2021.0
Kepler-181 b,Kepler-181,1.27,2.15,0.04,0.0,1041.0,255.584,5333.0,0.749,0.81,6.46,,2014.0
Kepler-1748 b,Kepler-1748,2.71275017,7.81,0.0615,0.0,955.0,196.33,5774.0,0.864,0.916,,,2021.0
K2-29 b,K2-29,13.33871,232.0159,0.04217,0.066,1171.0,293.0,5358.0,0.86,0.94,2.6,G7 V,2016.0
Kepler-1347 b,Kepler-1347,1.03,1.08,0.104,0.0,617.0,34.32,5193.0,0.79,0.82,5.62,,2016.0
Kepler-336 d,Kepler-336,2.37,6.21,0.154,0.0,749.0,74.36,5867.0,1.304,1.09,4.9,,2014.0
Kepler-1616 b,Kepler-1616,1.02,1.04,0.07318,0.0,1337.0,724.861,6266.0,1.34,1.21,2.75,,2016.0
OGLE-TR-56 b,OGLE-TR-56,15.278,441.77,0.02383,0.0,2212.0,3942.3204,6050.0,1.363,1.228,3.0,F8 V,2002.0
14 And b,14 And,13.1,1131.15130051,0.775,0.0,909.92,115.1634,4888.0,11.55,1.78,4.5,K0 III,2008.0
xi Aql b,xi Aql,13.4,616.90493799,0.625,0.059,973.07,149.8624,4841.0,10.86,1.74,7.1,K0 III,2007.0
MOA-2010-BLG-073L b,MOA-2010-BLG-073L,12.4,3500.0,1.21,,,,,,0.16,,,2012.0
Kepler-37 d,Kepler-37,2.03,2.0,0.2109,0.1,499.0,10.39,5357.0,0.789,0.79,7.6,,2013.0
HD 69830 d,HD 69830,4.45,18.1,0.63,0.07,308.1,1.5182,5385.0,0.886947,0.86,7.0,K0V,2006.0
TOI-776 b,TOI-776,1.798,5.0,0.0653,0.052,520.0,11.5,3725.0,0.547,0.542,6.1,M1 V,2020.0
Kepler-719 b,Kepler-719,8.52,54.5,0.0556,0.0,998.0,234.28,5777.0,0.98,0.99,3.98,,2016.0
HAT-P-28 b,HAT-P-28,13.585,198.953,0.0434,0.051,1384.0,554.7122,5680.0,1.103,1.025,6.1,G3,2011.0
TOI-1232 c,TOI-1232,8.88,58.48042689,0.194,0.027,660.05,31.4327,5823.0,1.072,1.058,4.0,G1 V,2026.0
Kepler-667 b,Kepler-667,4.73,20.1,0.2288,0.0,516.0,71.817,5327.0,0.87,0.91,4.68,,2016.0
Kepler-772 b,Kepler-772,1.82,3.97,0.11153,0.0,866.0,264.576,5714.0,1.11,0.98,8.13,,2016.0
Kepler-4 b,Kepler-4,4.002,24.472,0.0456,0.0,1650.0,1245.431,5857.0,1.487,1.223,4.5,,2009.0
WASP-56 b,WASP-56,10.53646,143.0235,0.05614,0.0,1216.0,447.82,5600.0,0.96,0.71,6.2,G6,2012.0
Kepler-557 b,Kepler-557,2.67,7.61,0.0469,0.0,1281.0,2885.663,6068.0,1.16,1.11,3.24,,2016.0
KMT-2018-BLG-0885L b,KMT-2018-BLG-0885L,11.9,9217.023803,1.07,,,,,,0.29,,,2023.0
Kepler-374 c,Kepler-374,1.1,1.37,0.042,0.0,1467.0,966.591,5977.0,0.911,1.033,8.51,,2014.0
Kepler-186 f,Kepler-186,1.17,1.71,0.432,0.04,177.0,0.3,3755.0,0.523,0.544,4.0,M1,2014.0
HD 147513 b,HD 147513,13.7,385.0,1.32,0.26,244.43,0.5609,5883.0,0.98,1.11,0.3,G3/5V,2003.0
Kepler-351 c,Kepler-351,3.19,11.1,0.287,0.0,431.0,6.712,5643.0,0.854,0.81,2.9,,2014.0
HD 93385 d,HD 93385,2.89,8.7,0.2565,0.09,619.44,24.471,5977.0,1.18484,1.04,3.3,G2/G3 V,2021.0
TOI-5007 b,TOI-5007,11.07447293,211.03806225,0.0307,0.074,774.0,85.3,3793.0,0.656,0.632,4.0,M1&plusmn;0.5,2026.0
EPIC 206024342 d,EPIC 206024342,2.6,7.27,,,,,5724.0,1.1,0.928,,,2021.0
rho CrB c,rho CrB,5.68,27.442,0.4206,0.048,448.1,9.85,5817.0,1.3617,1.0,10.2,G0,2016.0
GPX-1 b,GPX-1,16.47720163,6261.2196179,0.0338,0.0,2300.0,4650.0,7000.0,1.56,1.68,0.27,F2,2021.0
EPIC 249893012 b,EPIC 249893012,1.95,8.75,0.047,0.06,1616.0,1037.0,5430.0,1.71,1.05,9.0,G8 IV/V,2020.0
Kepler-310 d,Kepler-310,2.47,7.0,0.392,0.0,353.0,3.664,5797.0,0.876,0.854,1.9,,2014.0
K2-221 b,K2-221,1.67890272,3.46,,,,,5716.0,0.947599,1.010842,,,2018.0
Kepler-1585 b,Kepler-1585,1.79,3.86,0.0445,0.0,1064.0,182.941,5538.0,0.91,0.94,4.37,,2016.0
HD 23596 b,HD 23596,12.4,3786.607641,2.694,0.282,219.49,0.3957,6040.0,1.53,1.1,5.68,F8,2003.0
TOI-6041 b,TOI-6041,4.55,28.9,0.1651,,605.6,22.4,5445.0,0.879,0.885,7.9,G7,2025.0
Kepler-161 c,Kepler-161,2.05,3.61,0.068,0.0,769.0,76.201,5078.0,0.806,0.853,0.91,,2014.0
Kepler-553 c,Kepler-553,11.57887706,2129.4503269,0.898,0.346,251.0,0.589,5191.0,0.902,0.889,8.8,,2016.0
HIP 9618 c,HIP 9618,3.42855926,7.0,0.269,0.0,470.31,11.7,5649.0,0.9593,0.942,5.6,,2023.0
Kepler-1169 b,Kepler-1169,0.94,0.779,0.06931,0.0,1125.0,348.046,6191.0,1.23,1.24,1.38,,2016.0
HD 25015 b,HD 25015,12.5,2884.92845034,6.248,0.341,90.69,0.0106,5160.0,0.83,0.86,4.0,K2 V,2019.0
Kepler-861 b,Kepler-861,2.28,5.82,0.0463,0.0,966.0,197.29,5047.0,0.78,0.82,4.47,,2016.0
TOI-269 b,TOI-269,2.77,8.8,0.0345,0.425,531.0,19.0,3514.0,0.398,0.3917,,M2 V,2021.0
KMT-2019-BLG-2974L b,KMT-2019-BLG-2974L,11.4,88.99195396,2.0,,,,,,0.47,,,2022.0
KMT-2024-BLG-0349L b,KMT-2024-BLG-0349L,12.4,3769.44490702,6.46,,,,,,0.68,,,2026.0
IC 4651 9122 b,IC 4651 9122,12.7,2002.329,2.038,0.18,513.04,10.4109,4740.1,10.267424,2.1,1.14,,2018.0
K2-115 b,K2-115,11.80305668,321.00669107,0.1415,0.063,696.0,20.4393,5870.0,0.855,0.918,2.2,G4,2017.0
TOI-1272 c,TOI-1272,4.95,21.7,0.079,0.12,697.0,60.0865,5065.0,0.7934,0.8772,1.1,,2022.0
Kepler-489 b,Kepler-489,7.72,46.1,0.12109,0.0,538.0,20.618,5014.0,0.76,0.82,3.31,,2016.0
Kepler-839 b,Kepler-839,2.57,7.13,0.2316,0.0,626.0,46.303,6058.0,1.31,1.22,2.82,,2016.0
TOI-6393 b,TOI-6393,2.75958542,8.04,,,696.0,39.0679,5008.2,0.766023,0.835,,,2026.0
K2-342 b,K2-342,2.03,4.78,,,861.0,,5920.0,1.09,1.01,,,2021.0
