pl_name,hostname,pl_rade,pl_bmasse,pl_orbsmax,pl_orbeccen,pl_eqt,pl_insol,st_teff,st_rad,st_mass,st_age,st_spectype,disc_year
Kepler-138 b,Kepler-138,0.64,0.07,0.0753,0.02,452.0,9.9,3841.0,0.535,0.535,2.21,M1 V,2014.0
HD 219415 b,HD 219415,13.8,317.83,3.2,0.4,221.26,0.4071,4820.0,2.9,1.0,7.233,K0 III,2012.0
HD 175607 b,HD 175607,,2456.1779293,,0.11,,,5392.0,0.7,0.71,10.32,G6 V,2015.0
K2-285 d,K2-285,2.48,6.5,0.1178,0.0,619.9,24.61,4975.0,0.787,0.83,,K2 V,2018.0
HD 140901 c,HD 140901,13.4,572.0911326,11.8,0.77,76.76,0.0057,5610.0,0.95,1.06,3.2,G7 IV,2022.0
Kepler-1536 b,Kepler-1536,3.14,10.0,0.8507,0.0,166.0,0.193,4434.0,0.67,0.71,2.95,,2016.0
TOI-1824 b,TOI-1824,2.7438269,16.0,0.151,0.0,528.67,14.6287,5165.0,0.8123,0.8801,2.5,,2024.0
Kepler-509 b,Kepler-509,2.49,6.76,0.23702,0.0,584.0,28.481,6060.0,1.2,1.1,4.27,,2016.0
Kepler-431 b,Kepler-431,0.764,0.37,0.0719,0.0,1032.0,577.545,6004.0,1.092,1.071,4.34,,2015.0
GJ 649 b,GJ 649,10.8,81.99972901,1.112,0.083,120.74,0.0352,3734.0,0.5,0.51,0.44,M1.0,2009.0
DMPP-4 b,DMPP-4,3.53,12.2,0.04853,0.063,1645.69,1222.8464,6400.0,1.38,1.25,2.15,F5-F8 V,2023.0
Kepler-184 d,Kepler-184,2.49,6.76,0.179,0.0,559.0,18.557,5788.0,0.873,0.872,2.95,,2014.0
Kepler-813 b,Kepler-813,2.14,5.22,0.1439,0.0,817.0,56.04,5743.0,0.93,0.95,3.98,,2016.0
Kepler-1140 b,Kepler-1140,2.77,8.1,0.1478,0.0,500.0,13.051,4850.0,0.73,0.76,5.01,,2016.0
TOI-1799 b,TOI-1799,1.642,4.0,0.072502,0.0,922.72,164.26,5690.0,0.957,1.01,5.1,,2024.0
K2-65 b,K2-65,1.58,3.12,0.1014,,723.51,45.0,5213.0,0.84,0.87,,,2016.0
Kepler-104 d,Kepler-104,3.58,5.54022107,0.257,0.0,515.0,16.012,5711.0,1.349,0.818,13.18,,2014.0
K2-72 d,K2-72,1.01,1.01,0.05,0.11,416.92,5.4,3360.47,0.330989,0.271365,,,2016.0
Kepler-11 g,Kepler-11,3.33,25.0,0.466,0.15,376.0,5.65,5663.0,1.065,0.961,8.5,,2010.0
HD 148164 b,HD 148164,13.7,390.9309,0.993,0.587,337.89,2.1682,6032.0,1.34,1.21,2.41,F8,2018.0
TOI-1269 c,TOI-1269,2.22999162,5.6,,,757.0,54.6767,5554.02,0.848906,0.9027,3.1,,2026.0
Kepler-402 b,Kepler-402,1.22,1.98,0.051,0.0,1311.0,619.844,6090.0,1.264,1.072,1.4,,2014.0
K2-184 b,K2-184,1.47,2.76,0.1685,,533.0,14.0501,5245.0,0.75,0.84,,,2018.0
Kepler-372 d,Kepler-372,1.69,3.5,0.201,0.0,660.0,53.471,6509.0,1.137,1.202,2.349,,2014.0
2MASS J11550485-7919108 b,2MASS J11550485-7919108,12.1,6356.56814,587.0,,2506.0,0.0,3021.0,0.600455,0.58846,,,2024.0
HD 25723 b,HD 25723,13.3,794.5710175,1.49,0.04,698.4,39.6333,4766.0,13.76,2.12,0.95,K1 III,2020.0
TOI-7155 b,TOI-7155,2.40821473,6.38,,,914.0,116.253,4673.03,0.670748,0.755,,,2026.0
TOI-941 b,TOI-941,6.51165317,34.6,,,1000.0,166.575,5745.88,1.1849,1.078,,,2026.0
Kepler-1499 b,Kepler-1499,1.19,1.81,0.23225,0.0,409.0,7.371,5097.0,0.78,0.82,4.68,,2016.0
HD 187123 b,HD 187123,14.2,166.218,0.0426,0.0103,1450.9,738.4255,5790.0,1.15043,1.04,7.4,G3 V,1998.0
Kepler-1073 b,Kepler-1073,2.3,5.9,0.0805,0.0,905.0,128.55,5792.0,1.0,1.0,3.72,,2016.0
HD 1666 b,HD 1666,12.7,2040.0,0.94,0.63,436.47,6.0778,6317.0,1.93,1.5,1.76,F7 V,2015.0
OGLE-TR-10 b,OGLE-TR-10,14.011,197.046,0.0434,0.0,1702.0,818.5035,5950.0,1.17,1.14,3.1,G2 V,2004.0
